,nifty50,dow,eth,gold,cac40,vix_india,silver,nikkei225,hangseng,shanghai_sse,dax,nasdaq,btc,ftse100,vix_us,crude_oil,kospi
nifty50,1.0,0.27786969859998006,0.13973780204225264,0.09041523413741981,0.13800152447008007,-0.5343997390351142,0.11645201967093648,0.35447074015209884,0.37061991098084107,0.22966576305839453,0.14922611161217395,0.26448120018862314,0.11446162304509935,0.13954957900921927,-0.2045921146539861,0.09266206592601342,0.4624233929717633
dow,0.27786969859998006,1.0,0.28247094663493977,0.06216804891287268,0.5789364762592732,-0.22210906940538022,0.16728067671637903,0.41362808608954416,0.2439317904451867,0.17402616203608245,0.56813007816583,0.8271321823777008,0.2567480048752282,0.5577557855042412,-0.6835573075645149,0.2188958107626577,0.368396589265691
eth,0.13973780204225264,0.28247094663493977,1.0,0.08824733022506405,0.20943380475648926,-0.08074876351105068,0.137633458547428,0.19826881083088824,0.14235518982028808,0.09783973494647973,0.2177062639721274,0.3244550960734201,0.7921002992366626,0.18489715969406914,-0.2756763333876163,0.10863664942781001,0.20060631575931212
gold,0.09041523413741981,0.06216804891287268,0.08824733022506405,1.0,0.013987738259389143,-0.047100407248790416,0.7575205730614131,0.04162653133492832,0.08641890252411213,0.0564579703590474,0.041166815301226144,0.07407284957534957,0.09982850186992855,0.04240717588800636,-0.0027809672988678156,0.14611237137353494,0.16362273965336765
cac40,0.13800152447008007,0.5789364762592732,0.20943380475648926,0.013987738259389143,1.0,-0.13567560250046928,0.1449489222822743,0.3366318191271865,0.2093516624063538,0.14223686898004936,0.9134827889412032,0.4682730727414976,0.18929345119767968,0.8368235308761202,-0.42492495432541655,0.1905265737846547,0.28741081276032243
vix_india,-0.5343997390351142,-0.22210906940538022,-0.08074876351105068,-0.047100407248790416,-0.13567560250046928,1.0,-0.07004193298142809,-0.30129811146726215,-0.2938832995474265,-0.1614301668622866,-0.13797554415353036,-0.2333886856794172,-0.07976227846316121,-0.12781233864027938,0.22826872165906295,-0.02754134976684854,-0.3150871530992086
silver,0.11645201967093648,0.16728067671637903,0.137633458547428,0.7575205730614131,0.1449489222822743,-0.07004193298142809,1.0,0.09814347681977285,0.12627082449334762,0.09309024067962177,0.1699114509159683,0.18368398238641115,0.13249250475489313,0.16197093770366877,-0.11389317502891921,0.2040460985613123,0.18772808082396222
nikkei225,0.35447074015209884,0.41362808608954416,0.19826881083088824,0.04162653133492832,0.3366318191271865,-0.30129811146726215,0.09814347681977285,1.0,0.38944578647680345,0.2852618655975721,0.35961268345306446,0.45594145901439725,0.1840243787721986,0.25187021132571275,-0.4138730503817525,0.10268105480826444,0.596391174858774
hangseng,0.37061991098084107,0.2439317904451867,0.14235518982028808,0.08641890252411213,0.2093516624063538,-0.2938832995474265,0.12627082449334762,0.38944578647680345,1.0,0.5758497103584861,0.21446939149196897,0.2591368500507607,0.09899987987288279,0.18883711969133682,-0.25740522015189954,0.08369783899588412,0.529920721749753
shanghai_sse,0.22966576305839453,0.17402616203608245,0.09783973494647973,0.0564579703590474,0.14223686898004936,-0.1614301668622866,0.09309024067962177,0.2852618655975721,0.5758497103584861,1.0,0.14664114670785963,0.19474939880566325,0.060648510866410245,0.11907446492394966,-0.19928537360736567,0.0912821317726961,0.35723496326717497
dax,0.14922611161217395,0.56813007816583,0.2177062639721274,0.041166815301226144,0.9134827889412032,-0.13797554415353036,0.1699114509159683,0.35961268345306446,0.21446939149196897,0.14664114670785963,1.0,0.48843859356593894,0.19101109106290787,0.7910432145348545,-0.42201056980868173,0.15678947279896518,0.31222465262820187
nasdaq,0.26448120018862314,0.8271321823777008,0.3244550960734201,0.07407284957534957,0.4682730727414976,-0.2333886856794172,0.18368398238641115,0.45594145901439725,0.2591368500507607,0.19474939880566325,0.48843859356593894,1.0,0.3053890134706002,0.40494582301769605,-0.7201854281486899,0.1601193689043346,0.37845482749117904
btc,0.11446162304509935,0.2567480048752282,0.7921002992366626,0.09982850186992855,0.18929345119767968,-0.07976227846316121,0.13249250475489313,0.1840243787721986,0.09899987987288279,0.060648510866410245,0.19101109106290787,0.3053890134706002,1.0,0.16698608118648506,-0.2414530080048462,0.10721947015551551,0.1621003215857922
ftse100,0.13954957900921927,0.5577557855042412,0.18489715969406914,0.04240717588800636,0.8368235308761202,-0.12781233864027938,0.16197093770366877,0.25187021132571275,0.18883711969133682,0.11907446492394966,0.7910432145348545,0.40494582301769605,0.16698608118648506,1.0,-0.3831682052214426,0.22284549301716008,0.2518003045882327
vix_us,-0.2045921146539861,-0.6835573075645149,-0.2756763333876163,-0.0027809672988678156,-0.42492495432541655,0.22826872165906295,-0.11389317502891921,-0.4138730503817525,-0.25740522015189954,-0.19928537360736567,-0.42201056980868173,-0.7201854281486899,-0.2414530080048462,-0.3831682052214426,1.0,-0.16063290706270947,-0.31824904847817603
crude_oil,0.09266206592601342,0.2188958107626577,0.10863664942781001,0.14611237137353494,0.1905265737846547,-0.02754134976684854,0.2040460985613123,0.10268105480826444,0.08369783899588412,0.0912821317726961,0.15678947279896518,0.1601193689043346,0.10721947015551551,0.22284549301716008,-0.16063290706270947,1.0,0.187237942088392
kospi,0.4624233929717633,0.368396589265691,0.20060631575931212,0.16362273965336765,0.28741081276032243,-0.3150871530992086,0.18772808082396222,0.596391174858774,0.529920721749753,0.35723496326717497,0.31222465262820187,0.37845482749117904,0.1621003215857922,0.2518003045882327,-0.31824904847817603,0.187237942088392,1.0
